Name,Team,Number,Position,Age,Height,Weight
Anthony Morrow,Oklahoma City Thunder,2,SG,30,5-Jun,210
Cameron Payne,Oklahoma City Thunder,22,PG,21,3-Jun,185
Andre Roberson,Oklahoma City Thunder,21,SG,24,7-Jun,210
Kyle Singler,Oklahoma City Thunder,5,SF,28,8-Jun,228
Dion Waiters,Oklahoma City Thunder,3,SG,24,4-Jun,220
Russell Westbrook,Oklahoma City Thunder,0,PG,27,3-Jun,200
Cliff Alexander,Portland Trail Blazers,34,PF,20,8-Jun,240
Al-Farouq Aminu,Portland Trail Blazers,8,SF,25,9-Jun,215
Pat Connaughton,Portland Trail Blazers,5,SG,23,5-Jun,206
Allen Crabbe,Portland Trail Blazers,23,SG,24,6-Jun,210
Ed Davis,Portland Trail Blazers,17,C,27,10-Jun,240
Maurice Harkless,Portland Trail Blazers,4,SF,23,9-Jun,215
Gerald Henderson,Portland Trail Blazers,9,SG,28,5-Jun,215
Chris Kaman,Portland Trail Blazers,35,C,34,Jul-00,265
Meyers Leonard,Portland Trail Blazers,11,PF,24,1-Jul,245
Damian Lillard,Portland Trail Blazers,0,PG,25,3-Jun,195
C.J. McCollum,Portland Trail Blazers,3,SG,24,4-Jun,200
Luis Montero,Portland Trail Blazers,44,SG,23,7-Jun,185
Mason Plumlee,Portland Trail Blazers,24,C,26,11-Jun,235
Brian Roberts,Portland Trail Blazers,2,PG,30,1-Jun,173
Noah Vonleh,Portland Trail Blazers,21,PF,20,9-Jun,240
Trevor Booker,Utah Jazz,33,PF,28,8-Jun,228
Trey Burke,Utah Jazz,3,PG,23,1-Jun,191
Alec Burks,Utah Jazz,10,SG,24,6-Jun,214
Dante Exum,Utah Jazz,11,PG,20,6-Jun,190
Derrick Favors,Utah Jazz,15,PF,24,10-Jun,265
Rudy Gobert,Utah Jazz,27,C,23,1-Jul,245
Gordon Hayward,Utah Jazz,20,SF,26,8-Jun,226
Rodney Hood,Utah Jazz,5,SG,23,8-Jun,206
Joe Ingles,Utah Jazz,2,SF,28,8-Jun,226
Chris Johnson,Utah Jazz,23,SF,26,6-Jun,206
Trey Lyles,Utah Jazz,41,PF,20,10-Jun,234
Shelvin Mack,Utah Jazz,8,PG,26,3-Jun,203
Raul Neto,Utah Jazz,25,PG,24,1-Jun,179
Tibor Pleiss,Utah Jazz,21,C,26,3-Jul,256
Jeff Withey,Utah Jazz,24,C,26,Jul-00,231
Shelvin Mack,Utah Jazz,8,PG,26,3-Jun,203
Raul Neto,Utah Jazz,25,PG,24,1-Jun,179
Tibor Pleiss,Utah Jazz,21,C,26,3-Jul,256
Jeff Withey,Utah Jazz,24,C,26,Jul-00,231
